"","Taxon","NestingModallupper"
"Leptogenys_toeraniva","Leptogenys_toeraniva","1"
"Leptogenys_intermedia","Leptogenys_intermedia","1"
"Leptogenys_diminuta","Leptogenys_diminuta","1"
"Leptogenys_chinensis","Leptogenys_chinensis","1"
"Leptogenys_malama","Leptogenys_malama","1"
"Leptogenys_angusta","Leptogenys_angusta","1"
"Leptogenys_coerulescens","Leptogenys_coerulescens","1"
"Leptogenys_antongilensis","Leptogenys_antongilensis","1"
"Leptogenys_attenuata","Leptogenys_attenuata","1"
"Leptogenys_pavesii","Leptogenys_pavesii","1"
"Leptogenys_lavavava","Leptogenys_lavavava","1"
"Leptogenys_oswaldi","Leptogenys_oswaldi","1"
"Leptogenys_voeltzkowi","Leptogenys_voeltzkowi","1"
"Leptogenys_borivava","Leptogenys_borivava","1"
"Leptogenys_truncatirostris","Leptogenys_truncatirostris","1"
"Hagensia_havilandi","Hagensia_havilandi","1"
"Euponera_brunoi","Euponera_brunoi","1"
"Euponera_antsiraka","Euponera_antsiraka","1"
"Euponera_sikorae","Euponera_sikorae","1"
"Phrynoponera_gabonensis","Phrynoponera_gabonensis","1"
"Bothroponera_comorensis","Bothroponera_comorensis","1"
"Bothroponera_perroti","Bothroponera_perroti","1"
"Bothroponera_cambouei","Bothroponera_cambouei","1"
"Bothroponera_wasmannii","Bothroponera_wasmannii","1"
"Bothroponera_vazimba","Bothroponera_vazimba","1"
"Buniapone_amblyops","Buniapone_amblyops","1"
"Paltothyreus_tarsatus","Paltothyreus_tarsatus","1"
"Ophthalmopone_berthoudi","Ophthalmopone_berthoudi","1"
"Megaponera_analis","Megaponera_analis","1"
"Mesoponera_ingesta","Mesoponera_ingesta","1"
"Streblognathus_peetersi","Streblognathus_peetersi","1"
"Mesoponera_rubra","Mesoponera_rubra","1"
"Mesoponera_ambigua","Mesoponera_ambigua","1"
"Pseudoneoponera_rufipes","Pseudoneoponera_rufipes","2"
"Odontoponera_transversa","Odontoponera_transversa","1"
"Anochetus_grandidieri","Anochetus_grandidieri","2"
"Anochetus_princeps","Anochetus_princeps","2"
"Anochetus_ghilianii","Anochetus_ghilianii","2"
"Anochetus_levaillanti","Anochetus_levaillanti","2"
"Anochetus_emarginatus","Anochetus_emarginatus","2"
"Anochetus_boltoni","Anochetus_boltoni","2"
"Anochetus_goodmani","Anochetus_goodmani","2"
"Anochetus_pubescens","Anochetus_pubescens","2"
"Anochetus_africanus","Anochetus_africanus","2"
"Anochetus_madagascarensis","Anochetus_madagascarensis","2"
"Anochetus_katonae","Anochetus_katonae","2"
"Odontomachus_rixosus","Odontomachus_rixosus","2"
"Odontomachus_coquereli","Odontomachus_coquereli","2"
"Odontomachus_assiniensis","Odontomachus_assiniensis","2"
"Odontomachus_chelifer","Odontomachus_chelifer","2"
"Odontomachus_hastatus","Odontomachus_hastatus","2"
"Odontomachus_ruficeps","Odontomachus_ruficeps","2"
"Odontomachus_cephalotes","Odontomachus_cephalotes","2"
"Odontomachus_meinerti","Odontomachus_meinerti","2"
"Odontomachus_laticeps","Odontomachus_laticeps","2"
"Odontomachus_clarus","Odontomachus_clarus","2"
"Odontomachus_brunneus","Odontomachus_brunneus","2"
"Odontomachus_relictus","Odontomachus_relictus","2"
"Odontomachus_haematodus","Odontomachus_haematodus","2"
"Odontomachus_erythrocephalus","Odontomachus_erythrocephalus","2"
"Odontomachus_opaciventris","Odontomachus_opaciventris","2"
"Odontomachus_bauri","Odontomachus_bauri","2"
"Odontomachus_troglodytes","Odontomachus_troglodytes","2"
"Syscia_augustae","Syscia_augustae","1"
"Syscia_typhla","Syscia_typhla","1"
"Ooceraea_fragosa","Ooceraea_fragosa","1"
"Ooceraea_biroi","Ooceraea_biroi","1"
"Ooceraea_australis","Ooceraea_australis","1"
"Leptanilloides_nomada","Leptanilloides_nomada","1"
"Leptanilloides_mckennae","Leptanilloides_mckennae","1"
"Leptanilloides_nubecula","Leptanilloides_nubecula","1"
"Leptanilloides_gracilis","Leptanilloides_gracilis","1"
"Leptanilloides_femoralis","Leptanilloides_femoralis","1"
"Tanipone_scelesta","Tanipone_scelesta","2"
"Tanipone_zona","Tanipone_zona","2"
"Tanipone_hirsuta","Tanipone_hirsuta","2"
"Tanipone_aglandula","Tanipone_aglandula","2"
"Simopone_elegans","Simopone_elegans","2"
"Simopone_dryas","Simopone_dryas","2"
"Simopone_conradti","Simopone_conradti","2"
"Simopone_dignita","Simopone_dignita","2"
"Vicinopone_conciliatrix","Vicinopone_conciliatrix","2"
"Cylindromyrmex_meinerti","Cylindromyrmex_meinerti","2"
"Cylindromyrmex_striatus","Cylindromyrmex_striatus","2"
"Acanthostichus_punctiscapus","Acanthostichus_punctiscapus","1"
"Acanthostichus_davisi","Acanthostichus_davisi","1"
"Acanthostichus_brevicornis","Acanthostichus_brevicornis","1"
"Acanthostichus_quadratus","Acanthostichus_quadratus","1"
"Acanthostichus_kirbyi","Acanthostichus_kirbyi","1"
"Parasyscia_sylvicola","Parasyscia_sylvicola","1"
"Parasyscia_dohertyi","Parasyscia_dohertyi","1"
"Parasyscia_desposyne","Parasyscia_desposyne","1"
"Chrysapace_sauteri","Chrysapace_sauteri","1"
"Yunodorylus_paradoxus","Yunodorylus_paradoxus","1"
"Yunodorylus_sexspinus","Yunodorylus_sexspinus","1"
"Cerapachys_jacobsoni","Cerapachys_jacobsoni","1"
"Aenictus_aratus","Aenictus_aratus","1"
"Aenictus_laeviceps","Aenictus_laeviceps","1"
"Aenictus_ceylonicus","Aenictus_ceylonicus","1"
"Aenictus_turneri","Aenictus_turneri","1"
"Aenictus_rotundatus","Aenictus_rotundatus","1"
"Aenictus_eugenii","Aenictus_eugenii","1"
"Dorylus_laevigatus","Dorylus_laevigatus","1"
"Dorylus_fimbriatus","Dorylus_fimbriatus","1"
"Dorylus_orientalis","Dorylus_orientalis","1"
"Dorylus_conradti","Dorylus_conradti","1"
"Dorylus_spininodis","Dorylus_spininodis","1"
"Dorylus_kohli","Dorylus_kohli","1"
"Dorylus_braunsi","Dorylus_braunsi","1"
"Dorylus_affinis","Dorylus_affinis","1"
"Dorylus_helvolus","Dorylus_helvolus","1"
"Dorylus_emeryi","Dorylus_emeryi","1"
"Dorylus_fulvus","Dorylus_fulvus","1"
"Dorylus_gribodoi","Dorylus_gribodoi","1"
"Dorylus_mayri","Dorylus_mayri","1"
"Dorylus_nigricans","Dorylus_nigricans","1"
"Dorylus_wilverthi","Dorylus_wilverthi","1"
