"","Taxon","NestingModallupper"
"Pseudomyrmex_satanicus","Pseudomyrmex_satanicus","2"
"Pseudomyrmex_spinicola","Pseudomyrmex_spinicola","2"
"Pseudomyrmex_mixtecus","Pseudomyrmex_mixtecus","2"
"Pseudomyrmex_veneficus","Pseudomyrmex_veneficus","2"
"Pseudomyrmex_ferrugineus","Pseudomyrmex_ferrugineus","2"
"Pseudomyrmex_janzeni","Pseudomyrmex_janzeni","2"
"Pseudomyrmex_flavicornis","Pseudomyrmex_flavicornis","2"
"Pseudomyrmex_oki","Pseudomyrmex_oki","2"
"Pseudomyrmex_gebellii","Pseudomyrmex_gebellii","2"
"Pseudomyrmex_simplex","Pseudomyrmex_simplex","2"
"Pseudomyrmex_pazosi","Pseudomyrmex_pazosi","2"
"Pseudomyrmex_euryblemma","Pseudomyrmex_euryblemma","2"
"Pseudomyrmex_laevivertex","Pseudomyrmex_laevivertex","2"
"Pseudomyrmex_lizeri","Pseudomyrmex_lizeri","2"
"Pseudomyrmex_seminole","Pseudomyrmex_seminole","2"
"Pseudomyrmex_pallidus","Pseudomyrmex_pallidus","2"
"Pseudomyrmex_ethicus","Pseudomyrmex_ethicus","2"
"Pseudomyrmex_ejectus","Pseudomyrmex_ejectus","2"
"Pseudomyrmex_holmgreni","Pseudomyrmex_holmgreni","2"
"Pseudomyrmex_rufiventris","Pseudomyrmex_rufiventris","2"
"Pseudomyrmex_inquilinus","Pseudomyrmex_inquilinus","2"
"Pseudomyrmex_acanthobius","Pseudomyrmex_acanthobius","2"
"Pseudomyrmex_flavidulus","Pseudomyrmex_flavidulus","2"
"Brachymyrmex_depilis","Brachymyrmex_depilis","2"
"Myrmelachista_flavocotea","Myrmelachista_flavocotea","2"
"Lasius_latipes","Lasius_latipes","1"
"Lasius_claviger","Lasius_claviger","1"
"Lasius_subumbratus","Lasius_subumbratus","1"
"Lasius_californicus","Lasius_californicus","1"
"Lasius_neoniger","Lasius_neoniger","1"
"Lasius_lasioides","Lasius_lasioides","1"
"Lasius_brunneus","Lasius_brunneus","1"
"Lasius_cinereus","Lasius_cinereus","1"
"Lasius_grandis","Lasius_grandis","1"
"Lasius_emarginatus","Lasius_emarginatus","1"
"Lasius_niger","Lasius_niger","1"
"Lasius_platythorax","Lasius_platythorax","1"
"Lasius_psammophilus","Lasius_psammophilus","1"
"Myrmecocystus_mexicanus","Myrmecocystus_mexicanus","1"
"Myrmecocystus_navajo","Myrmecocystus_navajo","1"
"Myrmecocystus_testaceus","Myrmecocystus_testaceus","1"
"Myrmecocystus_arenarius","Myrmecocystus_arenarius","1"
"Myrmecocystus_lugubris","Myrmecocystus_lugubris","1"
"Myrmecocystus_creightoni","Myrmecocystus_creightoni","1"
"Myrmecocystus_mimicus","Myrmecocystus_mimicus","1"
"Myrmecocystus_flaviceps","Myrmecocystus_flaviceps","1"
"Myrmecocystus_mendax","Myrmecocystus_mendax","1"
"Myrmecocystus_kathjuli","Myrmecocystus_kathjuli","1"
"Myrmecocystus_wheeleri","Myrmecocystus_wheeleri","1"
"Myrmecocystus_melliger","Myrmecocystus_melliger","1"
"Myrmecocystus_semirufus","Myrmecocystus_semirufus","1"
"Myrmecocystus_placodops","Myrmecocystus_placodops","1"
"Myrmecocystus_depilis","Myrmecocystus_depilis","1"
"Myrmecocystus_yuma","Myrmecocystus_yuma","1"
"Myrmecocystus_romainei","Myrmecocystus_romainei","1"
"Myrmecocystus_kennedyi","Myrmecocystus_kennedyi","1"
"Zatania_gloriosa","Zatania_gloriosa","2"
"Zatania_albimaculata","Zatania_albimaculata","2"
"Zatania_gibberosa","Zatania_gibberosa","2"
"Prenolepis_imparis","Prenolepis_imparis","1"
"Prenolepis_nitens","Prenolepis_nitens","1"
"Paraparatrechina_concinnata","Paraparatrechina_concinnata","2"
"Paraparatrechina_weissi","Paraparatrechina_weissi","2"
"Paraparatrechina_glabra","Paraparatrechina_glabra","2"
"Paraparatrechina_pallida","Paraparatrechina_pallida","2"
"Paraparatrechina_oceanica","Paraparatrechina_oceanica","2"
"Paraparatrechina_minutula","Paraparatrechina_minutula","2"
"Pseudolasius_australis","Pseudolasius_australis","1"
"Euprenolepis_wittei","Euprenolepis_wittei","1"
"Euprenolepis_procera","Euprenolepis_procera","1"
"Paratrechina_zanjensis","Paratrechina_zanjensis","2"
"Paratrechina_antsingy","Paratrechina_antsingy","2"
"Nylanderia_dodo","Nylanderia_dodo","1"
"Nylanderia_amblyops","Nylanderia_amblyops","1"
"Nylanderia_madagascarensis","Nylanderia_madagascarensis","1"
"Nylanderia_glabrior","Nylanderia_glabrior","1"
"Nylanderia_obscura","Nylanderia_obscura","1"
"Nylanderia_nuggeti","Nylanderia_nuggeti","1"
"Nylanderia_vitiensis","Nylanderia_vitiensis","1"
"Nylanderia_parvula","Nylanderia_parvula","1"
"Nylanderia_hystrix","Nylanderia_hystrix","1"
"Nylanderia_terricola","Nylanderia_terricola","1"
"Nylanderia_arenivaga","Nylanderia_arenivaga","1"
"Nylanderia_phantasma","Nylanderia_phantasma","1"
"Nylanderia_wojciki","Nylanderia_wojciki","1"
"Nylanderia_faisonensis","Nylanderia_faisonensis","1"
"Nylanderia_concinna","Nylanderia_concinna","1"
"Notostigma_carazzii","Notostigma_carazzii","1"
"Melophorus_CASENT0106148","Melophorus_CASENT0106148","1"
"Lasiophanes_atriventris","Lasiophanes_atriventris","2"
"Myrmecorhynchus_emeryi","Myrmecorhynchus_emeryi","2"
"Prolasius_convexus","Prolasius_convexus","2"
"Teratomyrmex_greavesi","Teratomyrmex_greavesi","1"
"Pseudonotoncus_hirsutus","Pseudonotoncus_hirsutus","1"
"Notoncus_capitatus","Notoncus_capitatus","1"
"Gesomyrmex_CASENT0106178","Gesomyrmex_CASENT0106178","2"
"Santschiella_kohli","Santschiella_kohli","2"
"Oecophylla_smaragdina","Oecophylla_smaragdina","2"
"Oecophylla_longinoda","Oecophylla_longinoda","2"
"Bajcaridris_theryi","Bajcaridris_theryi","1"
"Proformica_mongolica","Proformica_mongolica","1"
"Proformica_nasuta","Proformica_nasuta","1"
"Cataglyphis_aenescens","Cataglyphis_aenescens","1"
"Cataglyphis_iberica","Cataglyphis_iberica","1"
"Polyergus_breviceps","Polyergus_breviceps","1"
"Iberoformica_subrufa","Iberoformica_subrufa","1"
"Formica_neogagates","Formica_neogagates","1"
"Formica_moki","Formica_moki","1"
"Formica_lasioides","Formica_lasioides","1"
"Formica_clara","Formica_clara","1"
"Formica_japonica","Formica_japonica","1"
"Formica_candida","Formica_candida","1"
"Formica_uralensis","Formica_uralensis","1"
"Formica_fukaii","Formica_fukaii","1"
"Formica_exsectoides","Formica_exsectoides","1"
"Formica_aquilonia","Formica_aquilonia","1"
"Formica_densiventris","Formica_densiventris","1"
"Formica_obscuripes","Formica_obscuripes","1"
"Formica_rufa","Formica_rufa","1"
"Formica_wheeleri","Formica_wheeleri","1"
"Formica_sanguinea","Formica_sanguinea","1"
"Formica_aserva","Formica_aserva","1"
"Formica_subintegra","Formica_subintegra","1"
"Formica_fusca","Formica_fusca","1"
"Formica_gagatoides","Formica_gagatoides","1"
"Formica_subsericea","Formica_subsericea","1"
"Formica_glacialis","Formica_glacialis","1"
"Formica_subaenescens","Formica_subaenescens","1"
"Petalomyrmex_phylax","Petalomyrmex_phylax","2"
"Aphomomyrmex_afer","Aphomomyrmex_afer","2"
"Acropyga_acutiventris","Acropyga_acutiventris","1"
"Acropyga_epedana","Acropyga_epedana","1"
"Lepisiota_canescens","Lepisiota_canescens","2"
"Plagiolepis_madecassa","Plagiolepis_madecassa","2"
"Gigantiops_destructor","Gigantiops_destructor","1"
"Myrmoteras_williamsi","Myrmoteras_williamsi","1"
"Opisthopsis_haddoni","Opisthopsis_haddoni","2"
"Opisthopsis_respiciens","Opisthopsis_respiciens","2"
"Polyrhachis_equina","Polyrhachis_equina","2"
"Polyrhachis_flavibasis","Polyrhachis_flavibasis","2"
"Polyrhachis_hexacantha","Polyrhachis_hexacantha","2"
"Polyrhachis_semipolita","Polyrhachis_semipolita","2"
"Polyrhachis_ornata","Polyrhachis_ornata","2"
"Polyrhachis_turneri","Polyrhachis_turneri","2"
"Polyrhachis_cupreata","Polyrhachis_cupreata","2"
"Polyrhachis_rufifemur","Polyrhachis_rufifemur","2"
"Polyrhachis_argentosa","Polyrhachis_argentosa","2"
"Polyrhachis_clio","Polyrhachis_clio","2"
"Polyrhachis_ammon","Polyrhachis_ammon","2"
"Polyrhachis_loweryi","Polyrhachis_loweryi","2"
"Polyrhachis_kaipi","Polyrhachis_kaipi","2"
"Polyrhachis_aurea","Polyrhachis_aurea","2"
"Polyrhachis_lata","Polyrhachis_lata","2"
"Polyrhachis_sokolova","Polyrhachis_sokolova","2"
"Polyrhachis_senilis","Polyrhachis_senilis","2"
"Polyrhachis_gab","Polyrhachis_gab","2"
"Polyrhachis_thrinax","Polyrhachis_thrinax","2"
"Polyrhachis_sexspinosa","Polyrhachis_sexspinosa","2"
"Polyrhachis_furcata","Polyrhachis_furcata","2"
"Polyrhachis_mucronata","Polyrhachis_mucronata","2"
"Polyrhachis_armata","Polyrhachis_armata","2"
"Polyrhachis_dives","Polyrhachis_dives","2"
"Polyrhachis_lacteipennis","Polyrhachis_lacteipennis","2"
"Polyrhachis_saevissima","Polyrhachis_saevissima","2"
"Polyrhachis_bicolor","Polyrhachis_bicolor","2"
"Polyrhachis_danum","Polyrhachis_danum","2"
"Polyrhachis_lepida","Polyrhachis_lepida","2"
"Polyrhachis_robsoni","Polyrhachis_robsoni","2"
"Polyrhachis_brevinoda","Polyrhachis_brevinoda","2"
"Polyrhachis_mackayi","Polyrhachis_mackayi","2"
"Polyrhachis_monteithi","Polyrhachis_monteithi","2"
"Polyrhachis_abbreviata","Polyrhachis_abbreviata","2"
"Polyrhachis_boltoni","Polyrhachis_boltoni","2"
"Polyrhachis_olybria","Polyrhachis_olybria","2"
"Polyrhachis_ypsilon","Polyrhachis_ypsilon","2"
"Polyrhachis_lamellidens","Polyrhachis_lamellidens","2"
"Polyrhachis_bihamata","Polyrhachis_bihamata","2"
"Polyrhachis_decemdentata","Polyrhachis_decemdentata","2"
"Polyrhachis_revoili","Polyrhachis_revoili","2"
"Polyrhachis_schlueteri","Polyrhachis_schlueteri","2"
"Polyrhachis_viscosa","Polyrhachis_viscosa","2"
"Polyrhachis_schistacea","Polyrhachis_schistacea","2"
"Polyrhachis_gagates","Polyrhachis_gagates","2"
"Polyrhachis_andromache","Polyrhachis_andromache","2"
"Polyrhachis_foreli","Polyrhachis_foreli","2"
"Polyrhachis_illaudata","Polyrhachis_illaudata","2"
"Polyrhachis_beccarii","Polyrhachis_beccarii","2"
"Polyrhachis_vindex","Polyrhachis_vindex","2"
"Polyrhachis_inermis","Polyrhachis_inermis","2"
"Camponotus_setosus","Camponotus_setosus","2"
"Camponotus_sericeus","Camponotus_sericeus","2"
"Camponotus_concolor","Camponotus_concolor","2"
"Camponotus_nasicus","Camponotus_nasicus","2"
"Camponotus_hildebrandti","Camponotus_hildebrandti","2"
"Camponotus_christi","Camponotus_christi","2"
"Camponotus_heteroclitus","Camponotus_heteroclitus","2"
"Camponotus_mocquerysi","Camponotus_mocquerysi","2"
"Camponotus_perjurus","Camponotus_perjurus","2"
"Colobopsis_vitrea","Colobopsis_vitrea","2"
"Camponotus_posteropilus","Camponotus_posteropilus","2"
"Camponotus_aeneopilosus","Camponotus_aeneopilosus","2"
"Echinopla_australis","Echinopla_australis","2"
"Calomyrmex_laevissimus","Calomyrmex_laevissimus","2"
"Camponotus_nearcticus","Camponotus_nearcticus","2"
"Camponotus_hyatti","Camponotus_hyatti","2"
"Camponotus_ocreatus","Camponotus_ocreatus","2"
"Camponotus_semitestaceus","Camponotus_semitestaceus","2"
"Camponotus_vicinus","Camponotus_vicinus","2"
"Camponotus_clarithorax","Camponotus_clarithorax","2"
"Camponotus_laevigatus","Camponotus_laevigatus","2"
"Camponotus_herculeanus","Camponotus_herculeanus","2"
"Camponotus_pennsylvanicus","Camponotus_pennsylvanicus","2"
"Camponotus_modoc","Camponotus_modoc","2"
"Camponotus_maritimus","Camponotus_maritimus","2"
"Camponotus_quercicola","Camponotus_quercicola","2"
"Camponotus_americanus","Camponotus_americanus","2"
"Camponotus_castaneus","Camponotus_castaneus","2"
"Camponotus_hartogi","Camponotus_hartogi","2"
"Camponotus_thadeus","Camponotus_thadeus","2"
"Camponotus_scotti","Camponotus_scotti","2"
"Camponotus_mussolinii","Camponotus_mussolinii","2"
"Camponotus_claripes","Camponotus_claripes","2"
"Camponotus_gibbinotus","Camponotus_gibbinotus","2"
"Camponotus_consobrinus","Camponotus_consobrinus","2"
"Camponotus_prostans","Camponotus_prostans","2"
"Camponotus_nigriceps","Camponotus_nigriceps","2"
"Camponotus_discors","Camponotus_discors","2"
"Camponotus_rufus","Camponotus_rufus","2"
"Camponotus_johnclarki","Camponotus_johnclarki","2"
"Camponotus_tricoloratus","Camponotus_tricoloratus","2"
"Camponotus_intrepidus","Camponotus_intrepidus","2"
"Camponotus_dromas","Camponotus_dromas","2"
"Camponotus_pawseyi","Camponotus_pawseyi","2"
"Camponotus_gouldianus","Camponotus_gouldianus","2"
"Camponotus_terebrans","Camponotus_terebrans","2"
"Camponotus_wiederkehri","Camponotus_wiederkehri","2"
"Camponotus_aurocinctus","Camponotus_aurocinctus","2"
"Camponotus_prosseri","Camponotus_prosseri","2"
"Camponotus_densopilus","Camponotus_densopilus","2"
"Camponotus_whitei","Camponotus_whitei","2"
"Camponotus_aurosus","Camponotus_aurosus","2"
"Camponotus_loweryi","Camponotus_loweryi","2"
"Camponotus_fieldeae","Camponotus_fieldeae","2"
"Camponotus_novaehollandiae","Camponotus_novaehollandiae","2"
"Camponotus_humilior","Camponotus_humilior","2"
"Camponotus_renggeri","Camponotus_renggeri","2"
"Camponotus_rufipes","Camponotus_rufipes","2"
"Camponotus_tortuganus","Camponotus_tortuganus","2"
"Camponotus_dimorphus","Camponotus_dimorphus","2"
"Camponotus_albicoxis","Camponotus_albicoxis","2"
"Camponotus_novogranadensis","Camponotus_novogranadensis","2"
"Camponotus_integellus","Camponotus_integellus","2"
"Camponotus_sanctaefidei","Camponotus_sanctaefidei","2"
"Camponotus_latangulus","Camponotus_latangulus","2"
"Camponotus_claviscapus","Camponotus_claviscapus","2"
"Camponotus_dufouri","Camponotus_dufouri","2"
"Camponotus_hagensii","Camponotus_hagensii","2"
"Camponotus_quadrimaculatus","Camponotus_quadrimaculatus","2"
"Camponotus_roeseli","Camponotus_roeseli","2"
"Camponotus_gouldi","Camponotus_gouldi","2"
"Camponotus_imitator","Camponotus_imitator","2"
"Camponotus_hova","Camponotus_hova","2"
"Camponotus_parius","Camponotus_parius","2"
"Camponotus_grandidieri","Camponotus_grandidieri","2"
"Camponotus_echinoploides","Camponotus_echinoploides","2"
"Camponotus_edmondi","Camponotus_edmondi","2"
"Camponotus_ellioti","Camponotus_ellioti","2"
"Camponotus_ethicus","Camponotus_ethicus","2"
"Camponotus_repens","Camponotus_repens","2"
"Camponotus_nossibeensis","Camponotus_nossibeensis","2"
"Camponotus_darwinii","Camponotus_darwinii","2"
"Camponotus_voeltzkowii","Camponotus_voeltzkowii","2"
"Camponotus_robustus","Camponotus_robustus","2"
"Heteroponera_microps","Heteroponera_microps","2"
"Acanthoponera_minor","Acanthoponera_minor","2"
"Heteroponera_panamensis","Heteroponera_panamensis","2"
"Typhlomyrmex_rogenhoferi","Typhlomyrmex_rogenhoferi","1"
"Gnamptogenys_striatula","Gnamptogenys_striatula","2"
"Ectatomma_vizottoi","Ectatomma_vizottoi","1"
"Ectatomma_tuberculatum","Ectatomma_tuberculatum","1"
"Ectatomma_parasiticum","Ectatomma_parasiticum","1"
"Ectatomma_edentatum","Ectatomma_edentatum","1"
"Ectatomma_brunneum","Ectatomma_brunneum","1"
"Ectatomma_gibbum","Ectatomma_gibbum","1"
"Ectatomma_opaciventre","Ectatomma_opaciventre","1"
"Ectatomma_permagnum","Ectatomma_permagnum","1"
"Ectatomma_lugens","Ectatomma_lugens","1"
"Manica_rubida","Manica_rubida","1"
"Manica_invidia","Manica_invidia","1"
"Manica_bradleyi","Manica_bradleyi","1"
"Myrmica_serica","Myrmica_serica","1"
"Myrmica_wheeleri","Myrmica_wheeleri","1"
"Myrmica_rupestris","Myrmica_rupestris","1"
"Myrmica_aimonissabaudiae","Myrmica_aimonissabaudiae","1"
"Myrmica_ruginodis","Myrmica_ruginodis","1"
"Myrmica_punctiventris","Myrmica_punctiventris","1"
"Myrmica_alaskensis","Myrmica_alaskensis","1"
"Myrmica_incompleta","Myrmica_incompleta","1"
"Myrmica_rugiventris","Myrmica_rugiventris","1"
"Myrmica_punctinops","Myrmica_punctinops","1"
"Myrmica_salina","Myrmica_salina","1"
"Myrmica_karavajevi","Myrmica_karavajevi","1"
"Myrmica_rugulosa","Myrmica_rugulosa","1"
"Myrmica_hellenica","Myrmica_hellenica","1"
"Myrmica_tulinae","Myrmica_tulinae","1"
"Myrmica_scabrinodis","Myrmica_scabrinodis","1"
"Myrmica_vandeli","Myrmica_vandeli","1"
"Myrmica_aloba","Myrmica_aloba","1"
"Myrmica_hirsuta","Myrmica_hirsuta","1"
"Myrmica_sabuleti","Myrmica_sabuleti","1"
"Myrmica_schencki","Myrmica_schencki","1"
"Myrmica_kasczenkoi","Myrmica_kasczenkoi","1"
"Myrmica_crassirugis","Myrmica_crassirugis","1"
"Myrmica_latifrons","Myrmica_latifrons","1"
"Myrmica_monticola","Myrmica_monticola","1"
"Myrmica_discontinua","Myrmica_discontinua","1"
"Myrmica_tahoensis","Myrmica_tahoensis","1"
"Myrmica_lobifrons","Myrmica_lobifrons","1"
"Myrmica_fracticornis","Myrmica_fracticornis","1"
"Myrmica_hamulata","Myrmica_hamulata","1"
"Myrmica_striolagaster","Myrmica_striolagaster","1"
"Myrmica_americana","Myrmica_americana","1"
"Myrmica_brevispinosa","Myrmica_brevispinosa","1"
"Myrmica_sulcinodis","Myrmica_sulcinodis","1"
"Myrmica_lobicornis","Myrmica_lobicornis","1"
"Myrmica_anatolica","Myrmica_anatolica","1"
"Myrmica_angulinodis","Myrmica_angulinodis","1"
"Hylomyrma_dentiloba","Hylomyrma_dentiloba","1"
"Hylomyrma_balzani","Hylomyrma_balzani","1"
"Hylomyrma_blandiens","Hylomyrma_blandiens","1"
"Pogonomyrmex_mayri","Pogonomyrmex_mayri","1"
"Pogonomyrmex_striatinodus","Pogonomyrmex_striatinodus","1"
"Pogonomyrmex_naegelii","Pogonomyrmex_naegelii","1"
"Pogonomyrmex_abdominalis","Pogonomyrmex_abdominalis","1"
"Pogonomyrmex_cunicularius","Pogonomyrmex_cunicularius","1"
"Pogonomyrmex_brevibarbis","Pogonomyrmex_brevibarbis","1"
"Pogonomyrmex_schmitti","Pogonomyrmex_schmitti","1"
"Pogonomyrmex_saucius","Pogonomyrmex_saucius","1"
"Pogonomyrmex_humerotumidus","Pogonomyrmex_humerotumidus","1"
"Pogonomyrmex_guatemaltecus","Pogonomyrmex_guatemaltecus","1"
"Pogonomyrmex_pima","Pogonomyrmex_pima","1"
"Pogonomyrmex_imberbiculus","Pogonomyrmex_imberbiculus","1"
"Pogonomyrmex_laevinodis","Pogonomyrmex_laevinodis","1"
"Pogonomyrmex_huachucanus","Pogonomyrmex_huachucanus","1"
"Pogonomyrmex_pronotalis","Pogonomyrmex_pronotalis","1"
"Pogonomyrmex_rastratus","Pogonomyrmex_rastratus","1"
"Pogonomyrmex_vermiculatus","Pogonomyrmex_vermiculatus","1"
"Pogonomyrmex_bispinosus","Pogonomyrmex_bispinosus","1"
"Pogonomyrmex_lobatus","Pogonomyrmex_lobatus","1"
"Pogonomyrmex_coarctatus","Pogonomyrmex_coarctatus","1"
"Pogonomyrmex_uruguayensis","Pogonomyrmex_uruguayensis","1"
"Pogonomyrmex_laticeps","Pogonomyrmex_laticeps","1"
"Pogonomyrmex_mendozanus","Pogonomyrmex_mendozanus","1"
"Pogonomyrmex_magnacanthus","Pogonomyrmex_magnacanthus","1"
"Pogonomyrmex_occidentalis","Pogonomyrmex_occidentalis","1"
"Pogonomyrmex_subdentatus","Pogonomyrmex_subdentatus","1"
"Pogonomyrmex_subnitidus","Pogonomyrmex_subnitidus","1"
"Pogonomyrmex_tenuispinus","Pogonomyrmex_tenuispinus","1"
"Pogonomyrmex_hoelldobleri","Pogonomyrmex_hoelldobleri","1"
"Pogonomyrmex_brevispinosus","Pogonomyrmex_brevispinosus","1"
"Pogonomyrmex_mohavensis","Pogonomyrmex_mohavensis","1"
"Pogonomyrmex_anzensis","Pogonomyrmex_anzensis","1"
"Pogonomyrmex_rugosus","Pogonomyrmex_rugosus","1"
"Pogonomyrmex_barbatus","Pogonomyrmex_barbatus","1"
"Pogonomyrmex_desertorum","Pogonomyrmex_desertorum","1"
"Pogonomyrmex_badius","Pogonomyrmex_badius","1"
"Pogonomyrmex_maricopa","Pogonomyrmex_maricopa","1"
"Pogonomyrmex_comanche","Pogonomyrmex_comanche","1"
"Pogonomyrmex_californicus","Pogonomyrmex_californicus","1"
"Veromessor_andrei","Veromessor_andrei","1"
"Veromessor_julianus","Veromessor_julianus","1"
"Veromessor_pergandei","Veromessor_pergandei","1"
"Novomessor_ensifer","Novomessor_ensifer","1"
"Novomessor_albisetosus","Novomessor_albisetosus","1"
"Novomessor_cockerelli","Novomessor_cockerelli","1"
"Stenamma_expolitum","Stenamma_expolitum","1"
"Stenamma_schmidti","Stenamma_schmidti","1"
"Stenamma_huachucanum","Stenamma_huachucanum","1"
"Stenamma_diversum","Stenamma_diversum","1"
"Stenamma_manni","Stenamma_manni","1"
"Stenamma_felixi","Stenamma_felixi","1"
"Stenamma_striatulum","Stenamma_striatulum","1"
"Stenamma_debile","Stenamma_debile","1"
"Stenamma_wheelerorum","Stenamma_wheelerorum","1"
"Stenamma_nipponense","Stenamma_nipponense","1"
"Stenamma_schmittii","Stenamma_schmittii","1"
"Stenamma_snellingi","Stenamma_snellingi","1"
"Stenamma_foveolocephalum","Stenamma_foveolocephalum","1"
"Stenamma_meridionale","Stenamma_meridionale","1"
"Stenamma_impar","Stenamma_impar","1"
"Stenamma_chiricahua","Stenamma_chiricahua","1"
"Stenamma_smithi","Stenamma_smithi","1"
"Stenamma_punctatoventre","Stenamma_punctatoventre","1"
"Stenamma_diecki","Stenamma_diecki","1"
"Stenamma_exasperatum","Stenamma_exasperatum","1"
"Stenamma_heathi","Stenamma_heathi","1"
"Stenamma_dyscheres","Stenamma_dyscheres","1"
"Stenamma_sequoiarum","Stenamma_sequoiarum","1"
"Aphaenogaster_swammerdami","Aphaenogaster_swammerdami","1"
"Aphaenogaster_pythia","Aphaenogaster_pythia","1"
"Aphaenogaster_araneoides","Aphaenogaster_araneoides","1"
"Goniomma_hispanicum","Goniomma_hispanicum","1"
"Goniomma_blanci","Goniomma_blanci","1"
"Oxyopomyrmex_saulcyi","Oxyopomyrmex_saulcyi","1"
"Aphaenogaster_senilis","Aphaenogaster_senilis","1"
"Aphaenogaster_balcanica","Aphaenogaster_balcanica","1"
"Messor_denticornis","Messor_denticornis","1"
"Messor_capitatus","Messor_capitatus","1"
"Messor_bouvieri","Messor_bouvieri","1"
"Messor_minor","Messor_minor","1"
"Messor_wasmanni","Messor_wasmanni","1"
"Aphaenogaster_occidentalis","Aphaenogaster_occidentalis","1"
"Aphaenogaster_umphreyi","Aphaenogaster_umphreyi","1"
"Aphaenogaster_fulva","Aphaenogaster_fulva","1"
"Aphaenogaster_tennesseensis","Aphaenogaster_tennesseensis","1"
"Aphaenogaster_mariae","Aphaenogaster_mariae","1"
"Aphaenogaster_patruelis","Aphaenogaster_patruelis","1"
"Aphaenogaster_megommata","Aphaenogaster_megommata","1"
"Aphaenogaster_boulderensis","Aphaenogaster_boulderensis","1"
"Aphaenogaster_uinta","Aphaenogaster_uinta","1"
"Aphaenogaster_huachucana","Aphaenogaster_huachucana","1"
"Aphaenogaster_floridana","Aphaenogaster_floridana","1"
"Aphaenogaster_flemingi","Aphaenogaster_flemingi","1"
"Aphaenogaster_picea","Aphaenogaster_picea","1"
"Aphaenogaster_treatae","Aphaenogaster_treatae","1"
"Aphaenogaster_ashmeadi","Aphaenogaster_ashmeadi","1"
"Aphaenogaster_lamellidens","Aphaenogaster_lamellidens","1"
"Aphaenogaster_texana","Aphaenogaster_texana","1"
"Aphaenogaster_miamiana","Aphaenogaster_miamiana","1"
"Aphaenogaster_rudis","Aphaenogaster_rudis","1"
"Aphaenogaster_carolinensis","Aphaenogaster_carolinensis","1"
"Poecilomyrma_myrmecodiae","Poecilomyrma_myrmecodiae","2"
"Rotastruma_recava","Rotastruma_recava","2"
"Rotastruma_stenoceps","Rotastruma_stenoceps","2"
"Gauromyrmex_acanthinus","Gauromyrmex_acanthinus","2"
"Vombisidris_bilongrudi","Vombisidris_bilongrudi","2"
"Formicoxenus_diversipilosus","Formicoxenus_diversipilosus","1"
"Formicoxenus_provancheri","Formicoxenus_provancheri","1"
"Harpagoxenus_sublaevis","Harpagoxenus_sublaevis","1"
"Leptothorax_acervorum","Leptothorax_acervorum","1"
"Temnothorax_poeyi","Temnothorax_poeyi","2"
"Temnothorax_tricarinatus","Temnothorax_tricarinatus","2"
"Temnothorax_rugatulus","Temnothorax_rugatulus","2"
"Temnothorax_kutteri","Temnothorax_kutteri","2"
"Temnothorax_recedens","Temnothorax_recedens","2"
"Temnothorax_unifasciatus","Temnothorax_unifasciatus","2"
"Temnothorax_bernardi","Temnothorax_bernardi","2"
"Terataner_rufipes","Terataner_rufipes","2"
"Terataner_bottegoi","Terataner_bottegoi","2"
"Rhopalomastix_janeti","Rhopalomastix_janeti","2"
"Rhopalomastix_rothneyi","Rhopalomastix_rothneyi","2"
"Melissotarsus_beccarii","Melissotarsus_beccarii","2"
"Melissotarsus_weissi","Melissotarsus_weissi","2"
"Melissotarsus_emeryi","Melissotarsus_emeryi","2"
"Melissotarsus_insularis","Melissotarsus_insularis","2"
"Cyphoidris_exalta","Cyphoidris_exalta","1"
"Kartidris_sparsipila","Kartidris_sparsipila","1"
"Vollenhovia_emeryi","Vollenhovia_emeryi","1"
"Calyptomyrmex_beccarii","Calyptomyrmex_beccarii","1"
"Calyptomyrmex_kaurus","Calyptomyrmex_kaurus","1"
"Tetramorium_scytalum","Tetramorium_scytalum","2"
"Tetramorium_taylori","Tetramorium_taylori","2"
"Tetramorium_venator","Tetramorium_venator","2"
"Tetramorium_validiusculum","Tetramorium_validiusculum","2"
"Tetramorium_sericeiventre","Tetramorium_sericeiventre","2"
"Tetramorium_tosii","Tetramorium_tosii","2"
"Tetramorium_impurum","Tetramorium_impurum","2"
"Tetramorium_caespitum","Tetramorium_caespitum","2"
"Strongylognathus_testaceus","Strongylognathus_testaceus","2"
"Tetramorium_atratulum","Tetramorium_atratulum","2"
"Tetramorium_kutteri","Tetramorium_kutteri","2"
"Tetramorium_transversinode","Tetramorium_transversinode","2"
"Tetramorium_anodontion","Tetramorium_anodontion","2"
"Tetramorium_delagoense","Tetramorium_delagoense","2"
"Tetramorium_valky","Tetramorium_valky","2"
"Tetramorium_plesiarum","Tetramorium_plesiarum","2"
"Tetramorium_bessonii","Tetramorium_bessonii","2"
"Tetramorium_pleganon","Tetramorium_pleganon","2"
"Tetramorium_kelleri","Tetramorium_kelleri","2"
"Tetramorium_ibycterum","Tetramorium_ibycterum","2"
"Tetramorium_dalek","Tetramorium_dalek","2"
"Tetramorium_ranarum","Tetramorium_ranarum","2"
"Tetramorium_alperti","Tetramorium_alperti","2"
"Tetramorium_severini","Tetramorium_severini","2"
"Tetramorium_cognatum","Tetramorium_cognatum","2"
"Tetramorium_sikorae","Tetramorium_sikorae","2"
